k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.64765376,0.8333333333267195,0.6069364161814629,105,21,68,62,0.019604492187500003,0.00982142857142857,0.009783063616071433
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.64765376,0.6788990825625789,0.6218487394905727,74,35,45,102,0.03945312499999999,0.01680045871559633,0.022652666284403662
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.64765376,0.8611111110991512,0.49206349205958677,62,10,64,120,0.0252685546875,0.007378472222222222,0.017890082465277776
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.64765376,0.6433566433521444,0.6571428571381633,92,51,48,65,0.026928710937500003,0.020935314685314683,0.005993396252185319
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.6272031,0.817073170721743,0.48550724637329346,67,15,71,103,0.0283203125,0.005182926829268292,0.02313738567073171
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.6272031,0.7499999999939516,0.7099236641167181,93,31,38,94,0.023046875,0.012298387096774192,0.01074848790322581
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.6272031,0.8661417322766445,0.635838150285342,110,17,63,66,0.019604492187500003,0.008169291338582678,0.011435200848917325
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.6272031,0.6721311475354743,0.6890756302463102,82,40,37,97,0.03945312499999999,0.019774590163934427,0.019678534836065565
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.6272031,0.9110169491486821,0.9772727272682852,215,21,5,15,0.0095703125,0.005137711864406779,0.004432600635593221
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.6272031,0.7096774193491154,0.6285714285669388,88,36,52,80,0.026928710937500003,0.016582661290322584,0.010346049647177419
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.6000631,0.693548387085588,0.3115942028962928,43,19,95,99,0.0283203125,0.01038306451612903,0.01793724798387097
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.6000631,0.8921568627363514,0.6946564885443156,91,11,40,114,0.023046875,0.004105392156862746,0.018941482843137257
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.6000631,0.9462365591296104,0.5086705202282736,88,5,85,78,0.019604492187500003,0.0010080645161290322,0.01859642767137097
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.6000631,0.783783783773192,0.4873949579790975,58,16,61,121,0.03945312499999999,0.00616554054054054,0.03328758445945945
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.6000631,0.9504950495002451,0.8727272727233059,192,10,28,26,0.0095703125,0.0019492574257425745,0.0076210550742574264
2,crp_dataset_8_1_5.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.6000631,0.86885245900215,0.42063492063158225,53,8,73,122,0.0252685546875,0.004610655737704918,0.020657898949795084
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.6296025,0.7977528089798005,0.7099999999929,71,18,29,138,0.039282226562499994,0.0056882022471910106,0.03359402431530899
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.6296025,0.9454545454459504,0.601156069360687,104,6,69,77,0.019604492187500003,0.001875,0.0177294921875
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.6296025,0.7777777777699214,0.6470588235239743,77,22,42,115,0.03945312499999999,0.008901515151515152,0.03055160984848484
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.6296025,0.9247787610578551,0.9499999999956819,209,17,11,19,0.0095703125,0.0036780973451327435,0.005892215154867257
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.6296025,0.8749999999878472,0.49999999999603173,63,9,63,121,0.0252685546875,0.0038194444444444448,0.021449110243055555
