k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_7.csv,0.6991663,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.6991663,0.6074074074029081,0.6890756302463102,82,53,37,84,0.039453125,0.03833333333333334,0.0011197916666666613
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.6991663,0.9823008849470592,0.8473282442683411,111,2,20,123,0.023046875,0.0011061946902654867,0.021940680309734513
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.6991663,0.7520661156962639,0.9099999999909,91,30,9,126,0.039282226562499994,0.010382231404958678,0.028899995157541318
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.6991663,0.6797752808950575,0.8642857142795409,121,57,19,59,0.026928710937499996,0.016678370786516853,0.010250340150983143
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.69680864,0.9444444444313271,0.5396825396782565,68,4,58,126,0.0252685546875,0.0012152777777777778,0.024053276909722223
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.69680864,0.9682539682385992,0.4420289855040433,61,2,77,116,0.0283203125,0.003273809523809524,0.025046502976190477
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.69680864,0.9999999999878049,0.6890756302463102,82,0,37,137,0.039453125,0.0013719512195121953,0.0380811737804878
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.69680864,0.9243697478913918,0.8396946564821398,110,9,21,116,0.023046875,0.0030987394957983196,0.019948135504201683
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.69680864,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
