model,k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.76,0.9999999999910714,0.6473988439268937,112,0,61,83,0.0196044921875,0.0,0.0196044921875
RF,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.76,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
RF,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.76,0.9682539682385992,0.4420289855040433,61,2,77,116,0.0283203125,0.0032738095238095243,0.025046502976190474
RF,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.76,0.9999999999879517,0.5928571428529082,83,0,57,116,0.026928710937499996,7.530120481927712e-05,0.02685340973268072
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.7433333333333333,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.7433333333333333,0.9999999999910714,0.6473988439268937,112,0,61,83,0.0196044921875,0.0,0.0196044921875
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.7433333333333333,0.660377358484336,0.5555555555511463,70,36,56,94,0.0252685546875,0.01320754716981132,0.01206100751768868
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.7433333333333333,0.7619047618975057,0.5797101449233355,80,25,58,93,0.0283203125,0.009642857142857144,0.018677455357142856
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.7433333333333333,0.9999999999868421,0.5428571428532654,76,0,64,116,0.026928710937499996,8.223684210526316e-05,0.026846474095394732
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.7433333333333333,0.9652173912959546,0.8473282442683411,111,4,20,121,0.023046875,0.001847826086956522,0.02119904891304348
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.69,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.69,0.8579545454496708,0.8728323699371513,151,25,22,58,0.0196044921875,0.0072443181818181825,0.012360174005681818
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.69,0.6728971962553935,0.5714285714240362,72,35,54,95,0.0252685546875,0.01203271028037383,0.01323584440712617
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.69,0.7735849056530794,0.5942028985464188,82,24,56,94,0.0283203125,0.009846698113207547,0.01847361438679245
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.69,0.7092198581509985,0.7142857142806123,100,41,40,75,0.026928710937499996,0.015647163120567374,0.011281547816932622
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.69,0.7558139534839778,0.9923664122061652,130,42,1,83,0.023046875,0.010937500000000001,0.012109375
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.6066666666666667,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.6066666666666667,0.9999999999873417,0.7899999999921,79,0,21,156,0.039282226562499994,0.0015031645569620255,0.03777906200553797
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.6066666666666667,0.932432432419832,0.5476190476147014,69,5,57,125,0.0252685546875,0.0018581081081081082,0.02341044657939189
RF,2,0.5,1.0,crp_dataset_8_1_2.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.6066666666666667,0.8749999999900567,0.5579710144887104,77,11,61,107,0.0283203125,0.005397727272727273,0.022922585227272727
