model,k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.7466666666666667,0.9909909909820631,0.8396946564821398,110,1,21,124,0.023046875,0.0005630630630630631,0.022483811936936937
RF,2,crp_dataset_8_1_2.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.7466666666666667,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.6068888888888889,0.9425287356213502,0.6890756302463102,82,5,37,132,0.03945312499999999,0.0020114942528735636,0.03744163074712643
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.6068888888888889,0.9863945578164192,0.8381502890124963,145,2,28,81,0.019604492187500003,0.00029761904761904765,0.019306873139880956
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.6068888888888889,0.9611650485343576,0.7173913043426277,99,4,39,114,0.0283203125,0.0029126213592233,0.0254076911407767
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.6068888888888889,0.984251968496187,0.9541984732751588,125,2,6,123,0.023046875,0.0004921259842519685,0.022554749015748034
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.6068888888888889,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.6068888888888889,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.606253142282554,0.9999999999864865,0.6218487394905727,74,0,45,137,0.03945312499999999,0.0008445945945945946,0.0386085304054054
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.606253142282554,0.9596774193470994,0.9444444444369489,119,5,7,125,0.0252685546875,0.0008568548387096775,0.02441169984879032
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.606253142282554,0.9285714285631377,0.7536231884003362,104,8,34,110,0.0283203125,0.0029575892857142856,0.025362723214285714
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.606253142282554,0.9919354838629683,0.9389312977027563,123,1,8,124,0.023046875,0.0003024193548387097,0.022744455645161293
